# A complete list of qualifier names and the feature names they map to from the
# Genbank flat file format definition as defined at
# http://www.ncbi.nlm.nih.gov/projects/collab/FT/index.html
# in appendix 4.
# Author: Bruce Ashton
# Date last modified: 2014-06-17

# QUALIFIER            FEATURE
allele                 attenuator
allele                 C_region
allele                 CAAT_signal
allele                 CDS
allele                 D-loop
allele                 D_segment
allele                 enhancer
allele                 exon
allele                 GC_signal
allele                 gene
allele                 iDNA
allele                 intron
allele                 J_segment
allele                 LTR
allele                 mat_peptide
allele                 misc_binding
allele                 misc_difference
allele                 misc_feature
allele                 misc_recomb
allele                 misc_RNA
allele                 misc_signal
allele                 misc_structure
allele                 mobile_element
allele                 modified_base
allele                 mRNA
allele                 ncRNA
allele                 N_region
allele                 old_sequence
allele                 operon
allele                 oriT
allele                 polyA_signal
allele                 polyA_site
allele                 precursor_RNA
allele                 prim_transcript
allele                 primer_bind
allele                 promoter
allele                 protein_bind
allele                 RBS
allele                 regulatory
allele                 repeat_region
allele                 rRNA
allele                 S_region
allele                 sig_peptide
allele                 stem_loop
allele                 STS
allele                 TATA_signal
allele                 terminator
allele                 tmRNA
allele                 transit_peptide
allele                 tRNA
allele                 unsure
allele                 V_region
allele                 V_segment
allele                 variation
allele                 3'UTR
allele                 5'UTR
allele                 -10_signal
allele                 -35_signal
altitude               source
anticodon              tRNA
artificial_location    CDS
artificial_location    mRNA
bio_material           source
bound_moiety           enhancer
bound_moiety           misc_binding
bound_moiety           oriT
bound_moiety           promoter
bound_moiety           protein_bind
bound_moiety           regulatory
cell_line              source
cell_type              source
chromosome             source
citation               attenuator
citation               C_region
citation               CAAT_signal
citation               CDS
citation               centromere
citation               D-loop
citation               D_segment
citation               enhancer
citation               exon
citation               GC_signal
citation               gene
citation               iDNA
citation               intron
citation               J_segment
citation               LTR
citation               mat_peptide
citation               misc_binding
citation               misc_difference
citation               misc_feature
citation               misc_recomb
citation               misc_RNA
citation               misc_signal
citation               misc_structure
citation               mobile_element
citation               modified_base
citation               mRNA
citation               ncRNA
citation               N_region
citation               old_sequence
citation               operon
citation               oriT
citation               polyA_signal
citation               polyA_site
citation               precursor_RNA
citation               prim_transcript
citation               primer_bind
citation               promoter
citation               protein_bind
citation               RBS
citation               regulatory
citation               repeat_region
citation               rRNA
citation               S_region
citation               sig_peptide
citation               source
citation               stem_loop
citation               STS
citation               TATA_signal
citation               telomere
citation               terminator
citation               tmRNA
citation               transit_peptide
citation               tRNA
citation               unsure
citation               V_region
citation               V_segment
citation               variation
citation               3'UTR
citation               5'UTR
citation               -10_signal
citation               -35_signal
clone                  misc_difference
clone                  source
clone_lib              source
codon_start            CDS
collected_by           source
collection_date        source
compare                misc_difference
compare                old_sequence
compare                unsure
compare                variation
country                source
cultivar               source
culture_collection     source
db_xref                attenuator
db_xref                C_region
db_xref                CAAT_signal
db_xref                CDS
db_xref                centromere
db_xref                D-loop
db_xref                D_segment
db_xref                enhancer
db_xref                exon
db_xref                GC_signal
db_xref                gene
db_xref                iDNA
db_xref                intron
db_xref                J_segment
db_xref                LTR
db_xref                mat_peptide
db_xref                misc_binding
db_xref                misc_difference
db_xref                misc_feature
db_xref                misc_recomb
db_xref                misc_RNA
db_xref                misc_signal
db_xref                misc_structure
db_xref                mobile_element
db_xref                modified_base
db_xref                mRNA
db_xref                ncRNA
db_xref                N_region
db_xref                old_sequence
db_xref                operon
db_xref                oriT
db_xref                polyA_signal
db_xref                polyA_site
db_xref                precursor_RNA
db_xref                prim_transcript
db_xref                primer_bind
db_xref                promoter
db_xref                protein_bind
db_xref                RBS
db_xref                regulatory
db_xref                repeat_region
db_xref                rRNA
db_xref                S_region
db_xref                sig_peptide
db_xref                source
db_xref                stem_loop
db_xref                STS
db_xref                TATA_signal
db_xref                telomere
db_xref                terminator
db_xref                tmRNA
db_xref                transit_peptide
db_xref                tRNA
db_xref                unsure
db_xref                V_region
db_xref                V_segment
db_xref                variation
db_xref                3'UTR
db_xref                5'UTR
db_xref                -10_signal
db_xref                -35_signal
dev_stage              source
direction              oriT
EC_number              CDS
EC_number              exon
EC_number              mat_peptide
ecotype                source
environmental_sample   source
estimated_length       assembly_gap
estimated_length       gap
exception              CDS
experiment             attenuator
experiment             C_region
experiment             CAAT_signal
experiment             CDS
experiment             centromere
experiment             D-loop
experiment             D_segment
experiment             enhancer
experiment             exon
experiment             gap
experiment             GC_signal
experiment             gene
experiment             iDNA
experiment             intron
experiment             J_segment
